Module,logFC,p.value,q.value
M6.15,-0.140361127960794,0.00600510606335947,0.007583913516354
M9.34,0.144403429366472,0.00603916649635767,0.007583913516354
M8.94,-0.267361095174805,0.00634160553552343,0.0078482967390219
M9.44,0.0923589142598609,0.00691660094998914,0.00843761998215447
M8.30,-0.11165772266193,0.0100671643824717,0.0121080468550736
M8.50,-0.171651920054167,0.0118772246287455,0.0140866510092606
M9.52,-0.13617195495779,0.0120973422224477,0.0141511712963007
M9.39,-0.0635827755379828,0.0123105360777589,0.0142059580230089
M9.3,-0.0344852352806549,0.0125117014344849,0.0142455883476827
M7.25,-0.115231837270732,0.012973266701886,0.0145767610809037
M8.44,-0.168808049096752,0.0137689011111546,0.0152698171712074
M8.82,0.139691945005376,0.0148405367919479,0.0162472659250952
M6.17,0.0966260743926355,0.0151016739890333,0.0163238757644453
M8.102,-0.115097329869682,0.0160914788416298,0.0169725429548485
M5.11,-0.143714254719905,0.0160992874172967,0.0169725429548485
M9.5,-0.0489220991522123,0.0176270277730699,0.018356527021817
M4.10,-0.177641803480222,0.0184680650257119,0.0190006555144663
M8.39,0.173218774260471,0.0189392447360422,0.0192094895380937
M9.23,-0.0571303618209269,0.0191209501170513,0.0192094895380937
M4.12,-0.186753207612345,0.0195527718764932,0.0194149002538437
M7.30,0.0727135690024054,0.020133765772885,0.0197620066380045
M8.84,-0.127178686308135,0.0212516687539586,0.0206222310049837
M7.8,0.071775425878256,0.0230337983686736,0.0221004357016033
M9.50,-0.121877508337678,0.0237595462950788,0.0223887849629492
M4.6,0.20514312790097,0.0238586922820368,0.0223887849629492
M9.2,-0.0566234562986709,0.0243871166263936,0.0226359074394802
M5.5,-0.122904553638639,0.0258635856878526,0.0237482202246924
M7.21,0.0799915488329046,0.0264420043345989,0.0237920871219771
M8.43,-0.0829495485956172,0.0264895167268218,0.0237920871219771
M9.27,-0.0981521657707526,0.0270834991785405,0.0237920871219771
M8.53,0.149971840554332,0.0274586844463065,0.0237920871219771
M7.24,-0.117970383261897,0.0275733026506138,0.0237920871219771
M9.7,-0.0639127760453583,0.0275830606617835,0.0237920871219771
M7.13,-0.124981759156229,0.0281293245735041,0.024020640626144
M9.6,-0.0516048110523614,0.0287795140982901,0.0241642975339766
M9.49,0.165308526855025,0.0290186785582398,0.0241642975339766
M8.64,-0.088546159559567,0.0291464803280337,0.0241642975339766
M8.14,-0.0904784528734173,0.0333252053273152,0.0273630671460143
M8.65,-0.182285423079758,0.0342766426804266,0.0276623038045049
M8.106,0.122743297510329,0.0345615071391017,0.0276623038045049
M8.49,-0.117904411419378,0.0346614592707137,0.0276623038045049
M8.11,-0.0951491040229384,0.0398279078986168,0.0314911862287503
M8.8,-0.0734053891412403,0.0446446238774116,0.0349758237726737
M8.55,-0.0696434659750039,0.0458212726537632,0.035571300514732
M4.9,0.12204896775632,0.0498985143632339,0.0383875078484074
M8.92,-0.0893951566506228,0.0506602883749368,0.0386255713413994
M8.46,-0.203608322358293,0.051312989513661,0.0387769954415881
M9.38,-0.0913583108493994,0.0521311752547269,0.0390497219662955
M7.6,-0.0812268458991635,0.0540884176801957,0.0401635153483222
M8.109,0.110121084593554,0.0550608199829187,0.0405331137107178
M9.51,0.092951812228124,0.0558127574896383,0.0407354857693562
M8.80,0.0746299767128402,0.0585981282485291,0.0423406892393919
M4.8,-0.13019666486601,0.0590037485050035,0.0423406892393919
M8.40,-0.0478566278197073,0.065475487751667,0.0465932256624971
M3.5,-0.115032679974882,0.069314449364406,0.0489174363695692
M5.8,-0.0985096548630102,0.0700153620650057,0.0490070758509794
M8.103,0.080288809632942,0.0725381756802628,0.05036012496001
M8.13,-0.0812144520666873,0.0780966242578653,0.0537818649953839
M9.16,-0.0421220260816154,0.0796415460429774,0.0541917024064142
M8.76,-0.0942553295323095,0.0799609707535141,0.0541917024064142
M8.9,-0.0756134785046741,0.091757113678987,0.0616966103779244
M8.16,-0.0695712500443813,0.0928818814239303,0.0619649802794754
M8.26,0.092614960954948,0.0983666027863023,0.0651153297162096
M7.14,-0.0857081484662587,0.10210071559165,0.067067283371856
M8.88,0.0833501554449474,0.110554885873592,0.071524547454042
M8.15,-0.0533376530919893,0.110561460826141,0.071524547454042
M7.32,-0.078378126285063,0.111997238037973,0.0718462257257802
M5.4,-0.0623715334749998,0.112741413433978,0.0718462257257802
M8.77,0.107306487738543,0.116805343603685,0.0738846506786173
M7.17,-0.0724065737780675,0.121084214614456,0.0760280588708323
M9.29,-0.112973417819817,0.122423470887303,0.0763078825549296
M9.14,0.0310199329941834,0.124228774995084,0.0768720384944388
M8.79,-0.173178874301004,0.127136249526291,0.0781051870918327
M4.16,-0.059110538035528,0.129728019941272,0.0787157766208114
M9.42,0.0496452659772397,0.129973739933037,0.0787157766208114
M7.23,0.0735404216629709,0.134396656460861,0.0808212199468331
M8.99,-0.0557370510360163,0.13776572683014,0.0822679038642968
M8.78,-0.168059345114712,0.139995101743649,0.0830186429452498
M8.51,0.121392543002615,0.142123868344808,0.0836997766239487
M8.37,0.0932121070247304,0.147678182829379,0.0863751402381221
M9.4,0.049388701542321,0.150894229379612,0.0866929853436616
