Module,logFC,p.value,q.value
M8.105,0.23595609992111,1.91705049175061e-05,2.48511440616718e-05
M8.108,-0.366617484786083,2.23723449772617e-05,2.84929564412218e-05
M4.12,-0.341304567555133,2.40366924091351e-05,2.98738891697704e-05
M8.15,-0.142943007232621,2.42796775493659e-05,2.98738891697704e-05
M7.17,-0.194484139059805,3.6844220666632e-05,4.44879776916093e-05
M8.36,0.167951648704261,3.73827836172501e-05,4.44879776916093e-05
M4.10,-0.311188110219446,4.3803852400881e-05,5.12886750267178e-05
M9.27,-0.178314663114818,4.80596477829831e-05,5.49560169373501e-05
M8.13,-0.192977581364791,4.84500645847596e-05,5.49560169373501e-05
M9.34,0.219369489902664,5.11670735135943e-05,5.71449798708559e-05
M8.39,0.307446337046773,5.60954585524606e-05,6.16999240387097e-05
M8.6,-0.140112594351026,7.6888463585334e-05,8.33081024488127e-05
M7.24,-0.21172165295253,8.47351580890443e-05,9.04597938573182e-05
M4.8,-0.265786334444607,9.9530577780893e-05,0.000104714855274682
M9.7,-0.111922918657614,0.000111984292713752,0.000115266237342991
M8.11,-0.17655090665231,0.000112735216440063,0.000115266237342991
M4.6,0.345341520566013,0.000136023435822342,0.000137145671885681
M6.13,0.370801202927176,0.000167047747749721,0.000165858416614976
M8.43,-0.146447097750135,0.000169070708413654,0.000165858416614976
M9.52,-0.199043179963184,0.000182001405860666,0.000176162855631439
M8.64,-0.151938683699024,0.000193508887167404,0.000184836691191311
M8.38,-0.159579983638339,0.000211983400207671,0.00019985360711584
M6.6,0.274174382689483,0.000225598821682999,0.000207718830127292
M8.88,0.192788169325322,0.000226048743267692,0.000207718830127292
M8.46,-0.392044547528671,0.000255484181269861,0.000231832805399529
M9.30,-0.1804849366096,0.000269300572607101,0.000241353232803778
M3.5,-0.230708863100303,0.000321868698054617,0.000284948092005885
M6.12,-0.171806237364622,0.000330890865068989,0.00028940601133407
M9.6,-0.0853773001162024,0.000354803360036682,0.000304643191076413
M9.33,0.122766525564568,0.000356705281096028,0.000304643191076413
M8.67,0.214270298405454,0.000484865851711163,0.000408030026999036
M8.78,-0.403572344206924,0.000489001863678729,0.000408030026999036
M8.84,-0.188974339689854,0.000612293293944299,0.000505100377561458
M9.28,-0.127388010391981,0.000629059522895048,0.000509579653288906
M5.13,0.180019546828012,0.000631762328993627,0.000509579653288906
M9.38,-0.160976367760208,0.000775078426457299,0.000618308360613831
M8.14,-0.143081742926951,0.000942315666849991,0.000740249759294967
M8.49,-0.18813522175938,0.000948331903067867,0.000740249759294967
M7.27,0.305538232541358,0.000968985810490046,0.000748325296136719
M5.4,-0.132615234106698,0.000979943936278982,0.000748821813348972
M8.102,-0.164340726890798,0.000997467372276573,0.000754272593512407
