Module,logFC,p.value,q.value
M8.88,0.130831973521493,2.82860291279366e-05,1.63864424736118e-05
M9.30,-0.106153519772542,3.26612318490849e-05,1.86507501702001e-05
M9.15,0.129327229586275,3.45157693931807e-05,1.94321562623678e-05
M5.14,-0.209189846470303,4.62884170826516e-05,2.5698135651233e-05
M4.1,-0.253040435819115,5.80675795800456e-05,3.17960116793527e-05
M8.108,-0.179921276530754,6.38245027417828e-05,3.44760501930918e-05
M8.10,-0.121592532116158,7.19920229890203e-05,3.83693903056589e-05
M9.19,0.0667455715453843,8.31112936727542e-05,4.3679463357257e-05
M4.6,0.217799995189229,8.41407221377002e-05,4.3679463357257e-05
M9.31,-0.121613900352664,8.71097735439808e-05,4.46410155781627e-05
M7.5,-0.0874830044612901,9.04307601652388e-05,4.57562974352648e-05
M7.6,-0.0951029991256397,9.63228146038109e-05,4.81283487490981e-05
M8.52,0.120826392196921,0.000109605351849234,5.40889468912732e-05
M6.15,-0.113503237654253,0.000115772975942008,5.64358575699257e-05
M6.18,0.229502795421003,0.000124758654466613,6.00833824907004e-05
M7.24,-0.117672113981833,0.000129775040861757,6.17552198843341e-05
M8.17,-0.101089099449899,0.000134429316184459,6.32174316850966e-05
M9.33,0.0808252075226416,0.000139154361861786,6.46785324100398e-05
M9.9,-0.0601738418505591,0.000164323431419477,7.5499143860136e-05
M8.82,0.124824432081046,0.000195593169367097,8.88449599681166e-05
M9.28,-0.088638883950954,0.000200179793840904,8.99066912768645e-05
M8.24,0.138023163964395,0.0002262843610732,0.000100501794152578
M5.3,0.177325144812617,0.000265014151252506,0.000116409776897589
M6.6,0.167930726849175,0.000348954696860455,0.000151615291425432
M5.9,-0.238174297008288,0.000354277270417924,0.000152272727036245
M9.41,0.102659523188237,0.000390120042496308,0.00016589457852767
M8.61,-0.0777423922417458,0.00041186334440102,0.000173297110142403
M7.31,0.122993931305826,0.000526206781456021,0.000219102327904895
M9.45,-0.118257955228594,0.000559060708001713,0.000230382252452913
M9.18,-0.0539225111124419,0.00057775572795804,0.000235656795785495
M6.14,0.167188547012305,0.00062775744672071,0.000253465271383044
M8.57,-0.109393336617405,0.000649459757333881,0.000259605584226631
M8.66,-0.210161935586008,0.000687409005315498,0.00027205432068946
M8.65,-0.163776818984977,0.000801164144600186,0.000312716646550326
M8.30,-0.0811812320803852,0.0008057984743568,0.000312716646550326
M8.5,-0.106541261014945,0.000834409127117075,0.000320706299592674
M9.7,-0.0554456822749746,0.000975796575674481,0.000371476867619563
M6.2,-0.0811710390163358,0.00124580548233699,0.00046979258373392
M5.4,-0.0756790946133929,0.00153215911115279,0.000572376605320901
M6.16,-0.0328322305831492,0.00158458032628084,0.000586478759935845
M8.13,-0.0931293477998181,0.00169438566723801,0.000621366099491627
M8.87,0.0841922082772889,0.00177533992766724,0.000641354899042062
M8.6,-0.0657099083736938,0.00178098233192769,0.000641354899042062
M8.51,0.151504334827433,0.00197457988262288,0.000704723038541302
M7.3,-0.0629372400454593,0.00208687162768362,0.000738208557384171
M8.67,-0.111289545236335,0.0021880087806978,0.000767195405579195
M8.83,-0.216257912474495,0.00223480444972046,0.000776789723071051
M9.47,0.0928154833438084,0.00231215859362222,0.000796748793428504
M4.5,-0.169179442656437,0.00234873187512163,0.000802434077987776
M6.5,-0.0810312597797095,0.00239504819325309,0.000811323459045309
M9.4,0.0598478183406692,0.00287647344213258,0.000966218150301235
M8.75,-0.0802946606174205,0.00394432694532654,0.00131387317107205
M7.20,-0.0838252533592753,0.00408885847954421,0.00135076093861146
