Module,logFC,p.value,q.value
M9.49,0.525495111595107,6.36445186191915e-09,8.32722910704537e-07
M5.15,1.41883326273839,4.57674494874184e-08,2.45449570836978e-06
M8.106,0.362363246809174,5.62786957596368e-08,2.45449570836978e-06
M8.67,0.358154581002235,7.9444496265083e-08,2.59862332234559e-06
M8.25,-0.264547832407368,6.20926132488542e-06,0.000148015454409308
M8.94,-0.448646525326808,6.78764008266164e-06,0.000148015454409308
M8.83,-0.544512443859181,1.07375627760309e-05,0.000192691076867743
M6.6,0.352102319499513,1.17818118577622e-05,0.000192691076867743
M4.2,0.780882153521183,2.5650464424923e-05,0.000372899869117789
M8.104,-0.317179503698916,4.15153687147729e-05,0.000543185798638647
M4.8,-0.299162711972085,5.06647589622045e-05,0.00057633101936154
M7.1,0.254941146498537,5.28583659525436e-05,0.00057633101936154
M9.5,-0.0821507401550947,6.27247969264833e-05,0.000631299461968143
M7.13,-0.22591625222616,9.4474148312429e-05,0.000882926307782564
M5.1,0.285284245212672,0.000127215216669501,0.00104889338187686
M8.48,0.40191566638658,0.000132667032280519,0.00104889338187686
M6.19,-0.163368007629719,0.000136282709379376,0.00104889338187686
M3.2,0.530541337988064,0.000196171141698994,0.00142594285726002
M9.11,-0.112228172700141,0.00021662896142316,0.0014553174309786
M9.45,-0.238068849404236,0.000222458097746792,0.0014553174309786
M9.22,0.273609640595891,0.000251784924885925,0.00152585391915617
M4.10,-0.300370020890256,0.000259522350490204,0.00152585391915617
M9.38,-0.188655450079646,0.00026822625499423,0.00152585391915617
M8.77,0.274451040819389,0.000351386444845422,0.00181479492048617
M8.8,-0.143357597766801,0.000358145844414626,0.00181479492048617
M7.35,0.523252185173663,0.000360629620991037,0.00181479492048617
M8.64,-0.156242602472641,0.000386813884071913,0.00187446699279783
M4.6,0.345128617573663,0.000417367818517443,0.00195029557595064
M8.105,0.207207272941844,0.000498131944916424,0.00224742860048495
M6.15,-0.19057668969286,0.000562436375559638,0.0024529667068658
M9.7,-0.107421699743843,0.000599185686333215,0.00252894418216972
M9.52,-0.19609320545213,0.000632411803697996,0.00258576764231204
M8.84,-0.202641779611662,0.000675265387442003,0.00267731861152684
M8.71,-0.228162647466492,0.000715122836601578,0.00268408398057076
M8.11,-0.167029055861993,0.00071800031845326,0.00268408398057076
M4.1,-0.41912676307841,0.000739260389143626,0.00268679445515002
M8.5,-0.182667427272774,0.000861994430321644,0.00293017614513345
M7.9,0.101594677723441,0.000863226499879875,0.00293017614513345
M7.10,0.300608494458344,0.000878617443843306,0.00293017614513345
M8.2,0.193442700041579,0.000895806505761561,0.00293017614513345
M8.14,-0.153631788520308,0.00101492065577835,0.00323882693431489
M9.27,-0.15510540693641,0.00105961335037974,0.00330094006258011
M7.12,-0.152064627017384,0.00130851814406907,0.00391770471323445
M6.9,-0.302785628540025,0.00131748253877384,0.00391770471323445
M8.45,0.178800436187157,0.00144932252531432,0.00421397578652842
M8.24,0.223108182960733,0.00148562606433576,0.00422562726515352
M9.23,-0.0853294934281039,0.00169685320007762,0.0047237393026777
M9.20,-0.075135187169931,0.00185398417971405,0.00505363991545859
M8.30,-0.146037458384499,0.0019700495065611,0.00526042178294283
M7.27,0.307687287728351,0.00210254457111792,0.00549256334662125
M9.8,0.0915990440508132,0.00214094614547757,0.00549256334662125
M8.100,-0.263805730684228,0.00222342086325322,0.00557251579790846
M7.16,0.206266728718022,0.00225729162576419,0.00557251579790846
M5.4,-0.131692459897918,0.00245003143663203,0.00593632137882362
M9.34,0.175484417876442,0.00265846788382541,0.00632423844835979
M7.26,0.124884554571083,0.00274109634000229,0.00640436064782211
M7.25,-0.14627532907749,0.00314529416900067,0.0071112898569909
M9.9,-0.0855005502291634,0.00318330937212008,0.0071112898569909
M7.6,-0.133683468169615,0.0032793404642506,0.0071112898569909
M5.5,-0.174443754390433,0.00332126857058257,0.0071112898569909
M6.13,0.312057170543113,0.00335576609062386,0.0071112898569909
M7.34,0.139029735275627,0.00339756541843609,0.0071112898569909
M9.37,0.123993851249866,0.00342412351998199,0.0071112898569909
M9.6,-0.07496143274585,0.00370830431612057,0.00751089376310442
M9.48,0.12646982378453,0.00373134553733303,0.00751089376310442
M8.53,0.204476821456153,0.003809002350393,0.0075371947235961
M8.29,-0.116578267873495,0.00386345278239642,0.0075371947235961
M7.28,-0.128420998708407,0.00391723061962157,0.0075371947235961
M7.29,0.343450715784817,0.00399976511040649,0.00758446417999999
M8.76,-0.172445615009817,0.00408034037695559,0.00762672101918818
M7.14,-0.171116611328221,0.00426819002658752,0.00786547410322186
M8.19,0.108963646083242,0.00434302959347721,0.00789223120950955
M8.78,-0.351597950036924,0.00482566123019135,0.00862920910004399
M8.108,-0.261707878660792,0.00489409883831415,0.00862920910004399
M9.12,-0.0614679116493807,0.00494644003584566,0.00862920910004399
M4.7,-0.215184732505754,0.00504704532135714,0.00868886640664108
M8.33,-0.0993144174890779,0.00540580911131805,0.0091856414296517
M8.61,-0.103929648021336,0.0059867169137835,0.0100423100905818
M8.49,-0.166078043412278,0.00686819721514187,0.011375098692697
M7.5,-0.115960119664076,0.00724557653085411,0.0118501123690759
M9.25,-0.0886895326412887,0.00850883426649696,0.0137443609933182
M4.12,-0.228489333288955,0.00885607665620047,0.0141308088682371
M8.6,-0.0998020190283202,0.00906644880950469,0.0142286504517267
M3.5,-0.180479739458683,0.00920378164978874,0.0142286504517267
M6.20,0.21886326167828,0.00924364224180529,0.0142286504517267
M8.10,0.149593859385014,0.0097082315124006,0.0147700233103485
M8.109,0.163915183561146,0.0124631492218615,0.0187433860306649
M8.69,0.150788554753313,0.0126102241169273,0.0187490661181011
M9.30,-0.130590271931037,0.0145406096174765,0.0213762793201509
M9.31,0.153935544781157,0.0150599423896163,0.0218937577619561
M8.4,0.0820376083937363,0.0156372905440715,0.0224832774979662
M9.28,-0.0957991189042415,0.0172701217859454,0.024561058547341
M9.2,-0.0624716736831723,0.0180192708966311,0.025350922838764
M9.19,0.0777789440903274,0.0187835811595866,0.0261450844906668
M1.2,-0.520521897813824,0.0196982172145372,0.0270189600432378
M4.13,0.304614907320223,0.0198992660658663,0.0270189600432378
M5.11,-0.151332012538575,0.0200309181233587,0.0270189600432378
M5.2,0.121886254087391,0.0220111468513422,0.0293870575279278
M4.15,-0.290872124730112,0.023198225327878,0.0306590769494832
M8.79,0.297121604655698,0.0241499073395972,0.0315976639770045
M8.3,0.0760003997641094,0.0251231414288991,0.032342548252588
M8.82,0.144322783223747,0.0252136023370202,0.032342548252588
M8.35,-0.0926049641846156,0.0258748668090052,0.0327910929132386
M8.32,-0.1761632633879,0.0260645195238152,0.0327910929132386
M8.97,-0.118351472138439,0.0272809271288212,0.0338939287436572
M8.72,0.0890366905952792,0.027653549187053,0.0338939287436572
M8.13,-0.112680576757418,0.0277182739163573,0.0338939287436572
M6.7,-0.132984520089207,0.0283656214922763,0.0343643438142359
M8.65,-0.212790415525129,0.030280469676425,0.036347589682309
M5.7,0.189219619472655,0.0320806355563563,0.0381583674694207
M9.40,0.156664131349354,0.0324621112481214,0.0382642575046261
M8.96,-0.153236140376657,0.0336137994007568,0.0392680277165694
M8.54,-0.151799937475176,0.0346744157193999,0.0401485824331072
M6.12,-0.10872631966503,0.035372352562427,0.0405974355732411
M9.43,-0.092044539248764,0.036927690688296,0.0417974114364913
M8.22,-0.0862639271982827,0.0370567961034913,0.0417974114364913
M9.15,0.109405976443535,0.0412600464447158,0.0461406128174275
M8.66,0.23025152806969,0.0453278181149776,0.0502599803838185
M7.24,-0.114804424547529,0.0483336910035161,0.0531425643965087
M6.11,0.0650153369435258,0.0500723178133369,0.0542685099305762
M8.46,0.226421139927994,0.050187291679366,0.0542685099305762
M9.39,-0.0539256006158906,0.0519273994841343,0.0552967714808494
M8.50,-0.146732833294047,0.0519834835685415,0.0552967714808494
M8.110,-0.121666491768805,0.0526693656798545,0.0555745443160355
M9.44,0.0730543584474578,0.0535677081508713,0.0560702587672193
M5.6,-0.105731295330994,0.0560289760426196,0.0580963796443783
M8.27,0.0942221704821355,0.0563914527501953,0.0580963796443783
M8.88,0.106731994572953,0.05815166564862,0.0594417650419745
M7.32,-0.0997702973999753,0.0614918017501331,0.062368746500306
M8.59,-0.0918616728945394,0.0620625662623271,0.062463438081259
M3.3,0.0869605702751563,0.062870349647218,0.0624742633632286
M8.63,-0.116219647041943,0.0630282962565532,0.0624742633632286
M6.10,0.068068650879171,0.0664010547066186,0.065286459103891
M6.8,0.098942212831496,0.0668633921263707,0.065286459103891
M8.16,-0.0831162771637564,0.0675745238526353,0.0654920724056773
M8.68,-0.0899998774499324,0.0682652276716678,0.0655273067517753
M2.1,-0.132359650506724,0.0686125211903621,0.0655273067517753
M7.18,-0.0569439054564058,0.0761156638661453,0.0719869544286122
M9.16,-0.0472437698537547,0.0769347219986891,0.0719869544286122
M8.41,0.0962590471815727,0.0770268837761669,0.0719869544286122
M8.17,-0.0825875090401148,0.0777508339854607,0.0721481917815654
M7.20,-0.102416587235773,0.0804121533671767,0.0740922622884611
M7.17,-0.088183042426814,0.0832430574171046,0.0761643066726925
M5.10,-0.0816328390213998,0.0847239807924218,0.0769809681251195
M6.3,0.0988866564143342,0.0865687636362184,0.0781146912139117
M5.13,0.0968016157732069,0.0890208243496421,0.0797771033590457
