Module,logFC,p.value,q.value
M7.29,0.733981079410123,0,0
M7.10,0.510339620970638,2.81656919412309e-11,7.41146048196523e-10
M7.35,0.830841410259687,6.28323671366376e-11,1.10223839460003e-09
M9.22,0.420226802514152,1.00731686518136e-10,1.32531612478868e-09
M8.32,-0.435650860667271,1.2801004700691e-10,1.34737169839934e-09
M7.18,-0.177186980582322,1.42267619906988e-09,1.24786666582874e-08
M8.83,-0.660109403935416,1.94455518354175e-09,1.46196037037762e-08
M8.2,0.305748029563011,2.83973368303431e-09,1.86810375678228e-08
M8.20,-0.189765023643189,4.10273526263438e-09,2.18261987697098e-08
M4.2,0.974668856985053,4.14729318392529e-09,2.18261987697098e-08
M8.41,0.258929465261758,1.75154152079917e-08,7.29593560509349e-08
M7.12,-0.239639933117958,1.79473838013422e-08,7.29593560509349e-08
M9.15,0.254760259154384,1.80223316125759e-08,7.29593560509349e-08
M8.56,-0.262970730411675,2.05808670106222e-08,7.73657960756343e-08
M8.48,0.518219701734817,2.98294742098783e-08,1.04656861624706e-07
M8.24,0.320497497077681,4.03916486031337e-08,1.32857160072697e-07
M9.9,-0.134927512346877,5.95538385272931e-08,1.8436318646326e-07
M8.50,-0.348119955547035,1.84289686400163e-07,5.38817749874365e-07
M3.6,-0.589080617289933,2.26984735451907e-07,6.28718760069901e-07
M4.7,-0.357668447105017,2.80203135805124e-07,7.37320592824624e-07
M9.14,0.100524021396586,3.20457137940852e-07,8.0308963893884e-07
M8.96,-0.325399147271334,3.95643661832423e-07,9.46443951201793e-07
M4.15,-0.575137865762954,4.57967248346236e-07,1.0479002704038e-06
M5.1,0.324203887458235,1.01536377390814e-06,2.2014035782645e-06
M7.5,-0.19048455318463,1.04574623271958e-06,2.2014035782645e-06
M8.71,-0.294703574784094,1.15915598186689e-06,2.34629114083618e-06
M6.9,-0.402050121578755,1.42768688715655e-06,2.78280371549557e-06
M4.1,-0.532820904050546,1.50230097539783e-06,2.8236592473696e-06
M8.74,-0.227879292991626,1.75569401017484e-06,3.18613517760018e-06
M7.25,-0.214343749763325,2.09231810521793e-06,3.67045434445079e-06
M8.33,-0.154485406478433,2.31464007138804e-06,3.92948053321226e-06
M6.19,-0.182637731178762,2.5429976409086e-06,4.10049346521443e-06
M8.19,0.154631484764215,2.5712049527666e-06,4.10049346521443e-06
M5.5,-0.251394923037147,2.82203762869138e-06,4.34896797830155e-06
M8.39,0.338036963213668,2.89228367492582e-06,4.34896797830155e-06
M7.1,0.264420662912646,3.05299313665087e-06,4.46310079637384e-06
M9.11,-0.127344294799655,4.37494154859053e-06,6.22277214419896e-06
M9.45,-0.263033390319889,6.20204888979181e-06,8.58944210525776e-06
M8.89,-0.370684580831836,8.58534264303046e-06,1.15852762409323e-05
M8.25,-0.236217057377597,9.08114814435201e-06,1.17459935435382e-05
M6.15,-0.221042467682462,9.1508249260297e-06,1.17459935435382e-05
M5.11,-0.255643919667284,1.10289406933806e-05,1.38196765661679e-05
M7.16,0.269585980717958,1.48446633574499e-05,1.81683407140892e-05
M3.2,0.552997866735653,1.54821914236106e-05,1.85179592620782e-05
M8.16,-0.173004457777652,1.82183438239836e-05,2.13063839163767e-05
M8.108,-0.351725844106544,2.02660119166254e-05,2.31858931442437e-05
M9.48,0.157153097836066,4.02603196810352e-05,4.50809157089291e-05
M8.5,-0.201954308824811,4.29399655896834e-05,4.70797147360645e-05
M8.13,-0.182986050406754,4.7693407457361e-05,5.12242536942396e-05
M7.17,-0.1841276997123,5.13650949509614e-05,5.40644088809565e-05
M5.8,-0.212294110318673,6.08511743485085e-05,6.27931335205816e-05
M8.30,-0.169165037981477,6.37075691436451e-05,6.44764412314908e-05
M4.12,-0.309353335930405,7.09801597371662e-05,7.0481391679844e-05
M8.105,0.212413279125881,7.79078143911763e-05,7.59277672521381e-05
M9.5,-0.078719021117528,8.91055097609339e-05,8.52619453994519e-05
M5.15,0.831318307673083,9.37423709290922e-05,8.80970314467737e-05
M8.6,-0.132220990084535,0.000105449904998611,9.7360928093867e-05
M8.94,-0.368247288363778,0.000120444724121649,0.000107890882669825
M7.6,-0.157876763354446,0.00012095487855901,0.000107890882669825
M7.13,-0.212828139636734,0.000123806007716221,0.000108315141730552
M8.102,-0.1790223528587,0.000127574366958649,0.000108315141730552
M8.43,-0.139556656708895,0.000127604941807746,0.000108315141730552
M8.11,-0.171872999178007,0.000140337018629921,0.000116191849774291
M4.10,-0.279757570993487,0.000141300035739533,0.000116191849774291
M8.35,-0.136083944465734,0.000149509360929834,0.000121051004182121
M9.27,-0.162598648625944,0.000170791875057752,0.000136187309151003
M5.4,-0.143541538233524,0.000178268410427229,0.000139149773671791
M9.28,-0.135648140789541,0.000180554787028386,0.000139149773671791
M9.25,-0.115719158049575,0.00018243922849237,0.000139149773671791
M9.34,0.191386772508989,0.000188904241639941,0.000142022462212064
M9.6,-0.0856705362589499,0.000192829984773102,0.000142932038033553
M6.13,0.345516267208939,0.000255289385508394,0.000186600855090392
M1.1,0.551310142064974,0.000268421662834219,0.000193512075219192
M8.65,-0.306105245304371,0.000272797762686405,0.000194009257014149
M8.78,-0.405603672029927,0.000277229780397237,0.000194163008375488
M6.6,0.256938022997214,0.000280392709043749,0.000194163008375488
M3.5,-0.222903929699809,0.000299127047708181,0.000204445863253419
M8.81,-0.15163477851871,0.000306718431811071,0.000206946764297255
M8.49,-0.196136521282675,0.000316314807472962,0.000210720020325752
M8.44,-0.239332987951335,0.000338241032479703,0.000222510071014154
M8.104,-0.247421121534222,0.000384402535446693,0.000249755230765263
M3.3,0.125163813242748,0.000404810665037316,0.000259807366894229
M7.24,-0.183159969266835,0.000443473163862507,0.000281191779336646
M8.88,0.178038716053716,0.000476146823897197,0.000295531485593054
M8.84,-0.188328197357478,0.000480299704784803,0.000295531485593054
M9.38,-0.160064896585778,0.000482935176546295,0.000295531485593054
M8.14,-0.143634513420608,0.000526936723011628,0.000318751752835246
M4.8,-0.23109911196783,0.000575452750247729,0.000344144129689787
M9.2,-0.083689364442821,0.000632823778431213,0.000374202040056957
M8.17,-0.140198259864527,0.000691158686718874,0.000401871464762564
M9.7,-0.0958041960312079,0.000694888611539879,0.000401871464762564
M4.6,0.297525248314165,0.000761672804805145,0.000435706451169135
M6.12,-0.152905316075924,0.000877954481322218,0.000496823831063762
M5.13,0.161848684108046,0.000965557980197009,0.000540584852060295
M4.3,-0.3570138986439,0.00101771507015025,0.000563788182262932
M7.26,0.113979022146503,0.00103672356127035,0.000565484923572543
M8.18,0.208744617232402,0.00104226798265377,0.000565484923572543
M6.14,0.257090911407912,0.00116789160927013,0.000627176577120343
M8.15,-0.105602248041986,0.00119118193976764,0.000629360311641591
M8.38,-0.131689531994372,0.00119587554307743,0.000629360311641591
M8.85,-0.311725748461389,0.00121069728137901,0.000630852112126164
M9.4,0.108072542919243,0.00124660007754576,0.000643191573163262
M9.41,0.144690643234737,0.0015370302383853,0.000785341513180061
M8.106,0.177818123419196,0.00168924229423668,0.00085481468665458
M9.20,-0.0660471635653649,0.00175478178656352,0.000879522971741613
M7.28,-0.125229667286657,0.00179357407960357,0.000890485437617033
M8.76,-0.16371369596485,0.00183111961023474,0.000900629781853971
M8.63,-0.177369241010017,0.00190167092438953,0.000926669734387774
M8.51,0.249187959639022,0.00199912993892021,0.00096522351393508
M8.64,-0.122118004385687,0.00203229077955491,0.000972313978939771
M4.14,-0.251555010109821,0.00214672423041429,0.00101780984529974
M9.24,0.10772568247884,0.00222700903307124,0.00104644720884609
M9.30,-0.138736963245254,0.00227345140519963,0.00105881625544057
M9.37,0.111806666546902,0.00230988718523809,0.00106634880396465
M8.21,-0.111577601617821,0.00233762388037095,0.00106976937987982
M8.29,-0.108271569169214,0.00243902569969667,0.00110655181595405
M8.36,0.118604340121963,0.00256488978890905,0.00115370882551711
M8.8,-0.106255091205057,0.00284187827446702,0.00126746750162235
M9.29,-0.210734126401338,0.00313827301703484,0.0013878966560102
M8.59,-0.123638061606428,0.00377824580728836,0.00165699932328408
M8.46,-0.293752222935185,0.0039151433376583,0.00170284714043984
M1.2,-0.555043214371524,0.00403978836900309,0.0017426579497323
M8.42,-0.0750314574456579,0.00453146645549407,0.00193886256737317
M7.19,-0.0918540601049136,0.00469124892636152,0.00199104080591847
M8.61,-0.0954082052614218,0.00509666559699529,0.00214580125299895
M9.33,0.0926687333399212,0.00547550832160388,0.00228700580118097
M9.18,-0.0676362882940534,0.00632963776755302,0.00262294089271856
M8.67,0.162549545659725,0.00721417836676265,0.00296613063347337
M5.10,-0.10972025017016,0.00871564451594398,0.00355568407078055
M8.58,-0.087464575724438,0.00916741453994052,0.00371122158810638
M4.9,0.156730254207489,0.00967011057653898,0.0038848433616891
M9.19,0.0759624860939063,0.0115009976976872,0.00458537599774661
M9.21,0.0831321812449547,0.0117791150106394,0.00466094941171498
M8.22,-0.0936820953471507,0.0124822733934231,0.00490232681393324
M7.9,0.0685104465004518,0.0127696813945086,0.00497805466310717
M7.27,0.222995181220718,0.013215480436202,0.00511396104791899
M6.7,-0.1347025386473,0.0137375925414436,0.00527719851879374
M8.62,-0.113072492932043,0.0147907307463984,0.00564058194284626
M8.87,0.0992169379196526,0.0160687187042409,0.00608386846499829
M8.100,-0.180990226452444,0.0162464207430888,0.00610721245863957
M8.91,0.139245723343869,0.0164446329767402,0.00613788066398879
M8.109,0.133342565841896,0.0170781559940401,0.00632945038333996
M9.52,-0.125748635038338,0.0172210900946694,0.00633779181604327
M8.111,0.0770335753471165,0.0178018055834432,0.00650601304360572
M8.52,0.108894788422461,0.0180406010900565,0.00654781453088824
M5.12,-0.157109692710708,0.018818643889829,0.00678342201124973
M5.14,-0.212231778196982,0.0214088661827434,0.00766460363612665
M9.16,-0.0537319546848401,0.021628093567315,0.00769077121877069
M5.9,-0.234317984713015,0.0223309802892273,0.00788741855593178
M7.32,-0.104299974809529,0.0299319692903206,0.0105016466134514
M8.53,0.143283527961292,0.0304753703711302,0.0106214892301823
M7.3,-0.0666294532417087,0.0313160491257374,0.0108426826243528
M9.23,-0.0499409119422201,0.035291944951614,0.0121287853261069
M8.93,0.127720336436746,0.0354915251318883,0.0121287853261069
M8.82,0.115727214556709,0.0380102038287722,0.0128251916706407
M7.4,-0.108870862484905,0.0380167594333098,0.0128251916706407
M6.4,-0.0585548113557277,0.0386102927186696,0.0129424593552255
M7.14,-0.105010434528297,0.0395953548534855,0.0131886553876316
M8.68,-0.0898284427496148,0.0405844577577585,0.0134330920731027
M8.31,0.0748121543231701,0.0408914940415714,0.0134501263438683
M7.30,0.0619978660973319,0.041754461490266,0.0136486714292394
M7.20,-0.106626508860845,0.0434525137279087,0.0141160523054739
M8.57,-0.0926038919415536,0.0484761470688822,0.0156514240460073
M8.75,-0.0766509417255482,0.0529343176481127,0.0169866148230446
M5.2,0.0904881447086549,0.0533229502775892,0.0170076219652535
M9.49,0.141401582989573,0.0547677404008937,0.0173632134123334
M8.79,-0.207283724008419,0.0607510294122839,0.0191447869718338
M8.110,-0.104984731423808,0.0617213952940079,0.0193348061225801
M9.17,0.0503171296302106,0.0637553838766713,0.0198537947783382
M4.13,0.208232719576383,0.0713239873059324,0.0220800504151558
M9.26,0.054770794161527,0.0724556719491232,0.0222992186565564
M8.10,-0.0903159124558371,0.0746940821202473,0.0228544679762939
M4.5,-0.151831011816222,0.0763977822517683,0.0232406364177268
M5.6,-0.0884906311879492,0.0785651987240956,0.0237626205496047
M6.5,-0.0764543655328852,0.079182491353377,0.0238124719454988
M9.50,-0.0915773080249569,0.080495548930019,0.0240698047046412
M7.11,-0.0599155977710214,0.0833269549074209,0.0247756817039403
M8.55,-0.0584599289498776,0.0848703160335911,0.0250928034647963
M4.16,-0.0641114529824905,0.0912883302060425,0.0268395728831526
M8.86,0.0819158416262162,0.0923453205548748,0.026999502145097
M8.28,-0.0469731982882902,0.0931821493762943,0.0270936500475674
M6.2,-0.0681353957445704,0.0941935565182037,0.0272372448623685
M8.54,-0.100126705067492,0.110366899366319,0.0317395759381462
M8.9,0.0693387695314839,0.112447828982494,0.0321622645567412
