Module,logFC,p.value,q.value
M8.20,-0.181385763631078,2.91096535764979e-08,3.21255679738889e-06
M8.105,0.259632023918718,3.38975623135725e-06,0.000187047647164893
M8.21,-0.174953371400544,6.24185048336834e-06,0.00021846024596554
M9.11,-0.126041821589396,9.14725914413772e-06,0.00021846024596554
M9.5,-0.0849184183363356,9.89757143821102e-06,0.00021846024596554
M5.15,1.05060963254732,1.47133231045687e-05,0.000264791788162037
M7.18,-0.129402022057066,1.67953390293185e-05,0.000264791788162037
M8.33,-0.141695617786182,2.29925725920843e-05,0.000299728696973387
M7.29,0.471215631890977,2.48124470487814e-05,0.000299728696973387
M8.74,-0.212024487395094,2.71590483409412e-05,0.000299728696973387
M8.83,-0.471775595321005,4.49396104287292e-05,0.000450869020526213
M4.2,0.701163090574935,5.35814923090305e-05,0.000492773490872089
M8.25,-0.219626393558446,5.98868268499864e-05,0.000508395534796598
M8.41,0.196734826482844,0.000117475470786787,0.000892233876466751
M6.19,-0.153452780950419,0.000128493983540423,0.000892233876466751
M8.108,-0.334148724050911,0.000129355504372208,0.000892233876466751
M7.10,0.319209984401925,0.000160029931569303,0.00103888165099921
M7.12,-0.164790549070934,0.000197816605178147,0.00121060305677281
M8.94,-0.344572759151269,0.000208421054833652,0.00121060305677281
M4.1,-0.429129283228723,0.000222719376579139,0.0012289714222453
M7.16,0.2308688185097,0.000259759755632413,0.00128438638901706
M8.19,0.130460799839711,0.000264892069804481,0.00128438638901706
M8.104,-0.263242264778573,0.000267676196753941,0.00128438638901706
M4.15,-0.433170965213323,0.000305937659855315,0.0013596851807084
M8.53,0.238862974545156,0.00030800984293639,0.0013596851807084
M1.2,-0.744779188433158,0.000369444120392304,0.00150376167701715
M9.2,-0.0878565865127871,0.000380397746866823,0.00150376167701715
M8.71,-0.224285541360512,0.000381525233242419,0.00150376167701715
M8.58,-0.126839306691681,0.000418274279120556,0.00150642215417376
M9.24,0.131750771706148,0.000420165781641903,0.00150642215417376
M7.13,-0.190782609112192,0.000424283791629065,0.00150642215417376
M9.19,0.108982209730212,0.000436800266589916,0.00150642215417376
M7.35,0.478064718176788,0.000494665890614364,0.00165429060214584
M8.100,-0.27927175957969,0.000554633263786242,0.00180028296935128
M8.2,0.186545772505576,0.000619912821941928,0.0019546830741557
M5.13,0.180391570014707,0.000706621545153876,0.00216619800684561
M9.9,-0.0899149503873229,0.000919050124305043,0.0027412664549425
M8.5,-0.168684214851536,0.00100703946923342,0.00292466867303274
M5.3,0.275101074412669,0.00117275069407674,0.00331859969690125
M5.1,0.22389386653204,0.00130972989214272,0.00361356212698421
M6.9,-0.281852087676461,0.00139595254837421,0.00375751373465298
M8.84,-0.176999296449487,0.00149049875782081,0.00391648173587243
M9.45,-0.188593447586191,0.00173529681564788,0.00441839384641371
M8.26,0.178135710742434,0.00176158386705553,0.00441839384641371
M9.22,0.217945965523425,0.00182143943504185,0.00446700047666216
M8.36,0.126900259691787,0.0020391461028793,0.00489220097176383
M8.82,0.18593564838664,0.00208583085835838,0.00489773189488601
M7.25,-0.141204583508963,0.00231520077241454,0.0053230580071964
M9.44,0.106446034816062,0.00269447219929321,0.00606864040891924
M8.50,-0.211045999455245,0.00285205751084439,0.00610439905698299
M4.7,-0.213868086777554,0.00289968955277509,0.00610439905698299
M8.67,0.184664431451359,0.00291233633114912,0.00610439905698299
M3.6,-0.368733518051376,0.00293160199541154,0.00610439905698299
M9.38,-0.140410757119256,0.0037119455296446,0.00758615326028551
M7.1,0.169667043483358,0.00403466612240337,0.00795187452460697
M8.32,-0.213043383676802,0.00405530523765907,0.00795187452460697
M8.96,-0.193918947076316,0.00410705573652237,0.00795187452460697
M8.39,0.219987091097233,0.00424930749147094,0.00808544529267133
M4.8,-0.196494006403861,0.00441190313924689,0.00814534193934127
M9.15,0.142509026976335,0.00450108222362757,0.00814534193934127
M6.6,0.213409956049194,0.00450220616203664,0.00814534193934127
M9.3,-0.0401035569895512,0.00468517397577273,0.00817216651475389
M9.27,-0.125152787240263,0.00473991922865569,0.00817216651475389
M5.2,0.14043467310384,0.00481005799192648,0.00817216651475389
M9.48,0.115021706732786,0.00481323189880225,0.00817216651475389
M9.7,-0.0819498074142254,0.00512811093256538,0.00857486425025996
M9.52,-0.148899265877382,0.00543761814523314,0.00895669284406055
M8.51,0.236320659849699,0.00616543321846513,0.0100061834969145
M8.15,-0.092962275417887,0.00652252863123026,0.0104323147363842
M4.10,-0.20560523301933,0.00746478194986655,0.0117688184638275
M3.2,0.355652610585502,0.00762573850754735,0.0118532470913198
M5.11,-0.162001207601324,0.00782368834144753,0.0119920332231975
M3.4,-0.283730458906169,0.00947045793582579,0.0141444807304776
M8.85,-0.277631204148056,0.00948429274369711,0.0141444807304776
M9.46,0.180378926250641,0.00991950261431835,0.0145962875472915
M7.22,0.191475864156296,0.0102291638713107,0.0148538940328299
M5.12,-0.192419574207025,0.0105311592491193,0.0150938222916038
