Module,logFC,p.value,q.value
M1.1,0.803504787745552,0,0
M2.3,0.857105458692807,0,0
M3.6,-0.731770127654651,0,0
M5.3,0.41148752253722,0,0
M7.33,0.345343436525837,0,0
M8.20,-0.166073144306644,0,0
M8.39,0.339620765171058,0,0
M8.46,-0.802013654225852,0,0
M8.106,-0.359635115140889,0,0
M9.24,0.168326195786955,0,0
M9.49,-0.475663776153734,0,0
M6.18,0.455330027709353,2.09261831965202e-14,1.05911680651082e-13
M8.26,0.245598729558424,5.49731589429775e-12,2.48433095896897e-11
M8.18,0.283494887011755,5.72667325486167e-12,2.48433095896897e-11
M8.15,-0.13525913888794,7.51012585453736e-11,3.04082227966908e-10
M4.4,0.41090437479137,8.53384405825625e-11,3.23936438194256e-10
M7.22,0.282246170593626,9.64076364238857e-11,3.4442732359672e-10
M8.66,-0.4166346054405,1.12810205621372e-10,3.80636970750926e-10
M8.21,-0.157248964630784,2.64954058692979e-10,8.46938856846952e-10
M9.2,-0.0866839552010543,4.66608973681559e-10,1.41696190304904e-09
M7.17,-0.161839209800539,6.38138653030751e-10,1.84557134806922e-09
M8.51,0.307781233767681,9.81227917138355e-10,2.70883341340435e-09
M4.15,-0.417876270740159,1.43285583398267e-09,3.78363943264558e-09
M8.50,-0.239554580130663,2.66346655841687e-09,6.74017370752043e-09
M5.11,-0.203045297727164,3.31421046162461e-09,8.05146960763518e-09
M5.15,-0.558313180140026,5.06788522258717e-09,1.17645784859153e-08
M3.1,0.572580722331139,5.23004051114618e-09,1.17645784859153e-08
M8.84,-0.175105160532748,1.1941685418293e-08,2.59025593626698e-08
M8.11,-0.14680769995652,1.66494156239594e-08,3.48687259869001e-08
M8.55,-0.122720405298312,2.14081314897641e-08,4.33403676989178e-08
M4.14,0.231443354346093,2.84907691962959e-08,5.38212002984756e-08
M8.56,-0.140731954747839,2.88325920916321e-08,5.38212002984756e-08
M6.20,-0.239144926800691,2.92436943549745e-08,5.38212002984756e-08
M8.110,0.211431613097208,3.44847847774963e-08,6.16004217420023e-08
M5.8,-0.174368129508187,5.37588138449507e-08,9.32860525535163e-08
M9.11,-0.0888706010121657,9.95787552415806e-08,1.64193336019442e-07
M6.14,0.265563918576919,1.00227465007309e-07,1.64193336019442e-07
M9.4,0.108685901295888,1.02731597297708e-07,1.64193336019442e-07
M9.19,0.0909212912945369,1.37112402914934e-07,2.13524256183351e-07
M8.71,-0.169450177359629,1.42362915678262e-07,2.16158324529725e-07
M8.41,0.168618706627161,2.02243716654742e-07,2.99589276209162e-07
M8.17,-0.139681708691243,2.54867732918385e-07,3.68553591909486e-07
M7.25,-0.134543623459202,3.29185929182074e-07,4.64951754068011e-07
M8.3,-0.102408679823728,4.55702551915849e-07,6.17269082199934e-07
M8.80,0.125971147085355,4.57353445918001e-07,6.17269082199934e-07
M9.5,-0.057779528088693,5.97905607691018e-07,7.89423185712839e-07
M7.19,-0.0997577391177974,6.54857185811153e-07,8.46221045858727e-07
M8.38,-0.130811481901881,7.0661040640907e-07,8.94074841617235e-07
M9.33,0.107004812330186,7.74568211830412e-07,9.60060655933879e-07
M9.36,0.119087530628507,8.32180645052152e-07,1.0108406284517e-06
M7.31,0.176577418173398,1.01484301231207e-06,1.20854763366332e-06
M4.7,-0.200933605754788,1.0916624815227e-06,1.27502917906169e-06
M8.82,0.164177354618779,1.55541613072271e-06,1.76594924043269e-06
